ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
DefaultB_PFCv_1;DefaultB;30;RH_Default;14;RH;50.1314616056461;48.4554738227746;-19.6800897926067
DefaultC_IPL_1;RH_DefaultC;32;RH_Default;14;RH;44.9693630841146;-49.6594360701961;14.4426919912055
DefaultC_Rsp_1;RH_DefaultC;32;RH_Default;14;RH;13.6398655335177;-36.5918811671791;-4.96926630776630
DefaultC_PHC_1;RH_DefaultC;32;RH_Default;14;RH;25.8391767981292;-19.4896934025302;-32.6701837574578
TempPar_1;RH_TempPar;34;RH_TempPar;16;RH;54.7554781620017;12.0727713018309;-29.1066951497025
TempPar_2;RH_TempPar;34;RH_TempPar;16;RH;50.2269498015586;-14.6733614930402;-16.9078583914874
TempPar_3;RH_TempPar;34;RH_TempPar;16;RH;56.2743047914607;-26.0483448365939;-5.37109421622233
TempPar_4;RH_TempPar;34;RH_TempPar;16;RH;60.3509175641063;-21.4850875478755;0.572839521981820
Sub_thalamusproper;LH_Sub;35;LH_Sub;17;LH;-12.1064387818474;-0.448652855994993;-13.5589183907886
Sub_caudate;LH_Sub;35;LH_Sub;17;LH;-13.8827984953982;26.4664313516161;-9.40585118261812
Sub_putamen;LH_Sub;35;LH_Sub;17;LH;-26.2461230847135;19.2501158206973;-19.7116027195444
Sub_pallidum;LH_Sub;35;LH_Sub;17;LH;-20.3472266348958;12.9532395273938;-21.1405439506238
Sub_hyppocampus;LH_Sub;35;LH_Sub;17;LH;-25.3493547134028;-4.44502474829612;-33.6648260971012
Sub_amygdala;LH_Sub;35;LH_Sub;17;LH;-23.3273318583929;13.8840028711685;-39.2696729150337
Sub_accumbensarea;LH_Sub;35;LH_Sub;17;LH;-8.83394870603202;29.5356336874024;-27.6311395486711
Sub_thalamusproper;RH_Sub;36;RH_Sub;18;RH;11.1692862851206;1.45704692580725;-13.5941926582190
Sub_caudate;RH_Sub;36;RH_Sub;18;RH;13.2542836012783;28.0516535680515;-9.54386877177466
Sub_putamen;RH_Sub;36;RH_Sub;18;RH;25.7366862623979;20.9751995815326;-20.2297746004850
Sub_pallidum;RH_Sub;36;RH_Sub;18;RH;20.0571407076989;14.3511029665509;-21.1327558568912
Sub_hyppocampus;RH_Sub;36;RH_Sub;18;RH;25.7926085270014;-3.37483300130896;-33.4408624769256
Sub_amygdala;RH_Sub;36;RH_Sub;18;RH;22.5362580578929;15.2042933834014;-39.6209494048215
Sub_accumbensarea;RH_Sub;36;RH_Sub;18;RH;8.09074174208119;30.5369603383458;-27.1268500439542
